Date,Open,High,Low,Close,Adj Close,Volume
1/1/2020,7194.89209,7254.330566,7174.944336,7200.174316,7200.174316,18565664997
1/2/2020,7202.55127,7212.155273,6935.27002,6985.470215,6985.470215,20802083465
1/3/2020,6984.428711,7413.715332,6914.996094,7344.884277,7344.884277,28111481032
1/4/2020,7345.375488,7427.385742,7309.51416,7410.656738,7410.656738,18444271275
1/5/2020,7410.45166,7544.49707,7400.535645,7411.317383,7411.317383,19725074095
1/6/2020,7410.452148,7781.867188,7409.292969,7769.219238,7769.219238,23276261598
1/7/2020,7768.682129,8178.21582,7768.227539,8163.692383,8163.692383,28767291327
1/8/2020,8161.935547,8396.738281,7956.774414,8079.862793,8079.862793,31672559265
1/9/2020,8082.295898,8082.295898,7842.403809,7879.071289,7879.071289,24045990466
1/10/2020,7878.307617,8166.554199,7726.774902,8166.554199,8166.554199,28714583844
1/11/2020,8162.190918,8218.359375,8029.64209,8037.537598,8037.537598,25521165085
1/12/2020,8033.261719,8200.063477,8009.059082,8192.494141,8192.494141,22903438381
1/13/2020,8189.771973,8197.788086,8079.700684,8144.194336,8144.194336,22482910688
1/14/2020,8140.933105,8879.511719,8140.933105,8827.764648,8827.764648,44841784107
1/15/2020,8825.34375,8890.117188,8657.1875,8807.010742,8807.010742,40102834650
1/16/2020,8812.481445,8846.460938,8612.095703,8723.786133,8723.786133,31313981931
1/17/2020,8725.209961,8958.12207,8677.316406,8929.038086,8929.038086,36372139320
1/18/2020,8927.211914,9012.198242,8827.332031,8942.808594,8942.808594,32337772627
1/19/2020,8941.445313,9164.362305,8620.080078,8706.245117,8706.245117,34217320471
1/20/2020,8704.631836,8745.59082,8560.473633,8657.642578,8657.642578,26422375678
1/21/2020,8658.991211,8755.706055,8544.520508,8745.894531,8745.894531,24097418512
1/22/2020,8744.210938,8792.994141,8636.74707,8680.875977,8680.875977,22600204051
1/23/2020,8680.650391,8687.74707,8333.637695,8406.515625,8406.515625,25770680779
1/24/2020,8405.567383,8514.666992,8266.84082,8445.43457,8445.43457,24397913026
1/25/2020,8440.119141,8458.453125,8296.21875,8367.847656,8367.847656,19647331549
1/26/2020,8364.410156,8602.401367,8325.498047,8596.830078,8596.830078,22177678796
1/27/2020,8597.308594,8977.726563,8597.308594,8909.819336,8909.819336,28647338393
1/28/2020,8912.524414,9358.589844,8908.447266,9358.589844,9358.589844,34398744403
1/29/2020,9357.470703,9406.431641,9269.467773,9316.629883,9316.629883,30682598115
1/30/2020,9316.016602,9553.125977,9230.897461,9508.993164,9508.993164,32378792851
1/31/2020,9508.313477,9521.706055,9230.776367,9350.529297,9350.529297,29432489719
2/1/2020,9346.357422,9439.323242,9313.239258,9392.875,9392.875,25922656496
2/2/2020,9389.820313,9468.797852,9217.824219,9344.365234,9344.365234,30835736946
2/3/2020,9344.683594,9540.37207,9248.633789,9293.521484,9293.521484,30934096509
2/4/2020,9292.841797,9331.265625,9112.811523,9180.962891,9180.962891,29893183716
2/5/2020,9183.416016,9701.299805,9163.704102,9613.423828,9613.423828,35222060874
2/6/2020,9617.821289,9824.619141,9539.818359,9729.801758,9729.801758,37628823716
2/7/2020,9726.00293,9834.716797,9726.00293,9795.943359,9795.943359,34522718159
2/8/2020,9793.070313,9876.749023,9678.910156,9865.119141,9865.119141,35172043762
2/9/2020,9863.894531,10129.43555,9850.392578,10116.67383,10116.67383,35807884663
2/10/2020,10115.55957,10165.76563,9784.563477,9856.611328,9856.611328,39386548075
2/11/2020,9855.891602,10210.05273,9729.334961,10208.23633,10208.23633,37648059389
2/12/2020,10202.3877,10393.61133,10202.3877,10326.05469,10326.05469,43444303830
2/13/2020,10323.96094,10457.62695,10116.16113,10214.37988,10214.37988,49356071373
2/14/2020,10211.55078,10321.99609,10125.53418,10312.11621,10312.11621,43338264162
2/15/2020,10313.85645,10341.55566,9874.427734,9889.424805,9889.424805,43865054831
2/16/2020,9889.179688,10053.96875,9722.386719,9934.433594,9934.433594,43374780305
2/17/2020,9936.560547,9938.81543,9507.637695,9690.142578,9690.142578,45998298413
2/18/2020,9691.230469,10161.93555,9632.382813,10141.99609,10141.99609,47271023953
2/19/2020,10143.79883,10191.67578,9611.223633,9633.386719,9633.386719,46992019710
2/20/2020,9629.325195,9643.216797,9507.900391,9608.475586,9608.475586,44925260237
2/21/2020,9611.782227,9723.014648,9589.743164,9686.441406,9686.441406,40930547513
2/22/2020,9687.707031,9698.231445,9600.728516,9663.181641,9663.181641,35838025154
2/23/2020,9663.318359,9937.404297,9657.791016,9924.515625,9924.515625,41185185761
2/24/2020,9921.583008,9951.746094,9537.042969,9650.174805,9650.174805,45080496648
2/25/2020,9651.3125,9652.737305,9305.021484,9341.705078,9341.705078,42515259129
2/26/2020,9338.290039,9354.77832,8704.426758,8820.522461,8820.522461,50420050762
2/27/2020,8825.09375,8932.892578,8577.199219,8784.494141,8784.494141,45470195695
2/28/2020,8788.728516,8890.456055,8492.932617,8672.455078,8672.455078,44605450443
2/29/2020,8671.212891,8775.631836,8599.508789,8599.508789,8599.508789,35792392544
3/1/2020,8599.758789,8726.796875,8471.212891,8562.454102,8562.454102,35349164300
3/2/2020,8563.264648,8921.308594,8532.630859,8869.669922,8869.669922,42857674409
3/3/2020,8865.387695,8901.598633,8704.990234,8787.786133,8787.786133,42386715821
3/4/2020,8788.541992,8843.366211,8712.431641,8755.246094,8755.246094,34746706368
3/5/2020,8760.285156,9142.054688,8757.253906,9078.762695,9078.762695,39698054597
3/6/2020,9078.308594,9167.695313,9032.079102,9122.545898,9122.545898,40826885651
3/7/2020,9121.600586,9163.220703,8890.744141,8909.954102,8909.954102,36216930370
3/8/2020,8908.206055,8914.34375,8105.25293,8108.116211,8108.116211,39973102121
3/9/2020,8111.146484,8177.793457,7690.098145,7923.644531,7923.644531,46936995808
3/10/2020,7922.146973,8136.945313,7814.763184,7909.729492,7909.729492,42213940994
